﻿name,lyric
2012,天再沒有時間 能去延後再沒有後路 能去逃脫再沒有備案 沒有逃生線索再沒藍色天空我突然想到 小的時侯總等著長大 去追的夢就這麼活著 突然西元盡頭卻沒有一件 真的去做再看 最後一眼 青春的星空燦爛 火光就像 盛夏的煙火歡送 掙扎萬年 文明的巔峰我們啊 將變星塵 永遠飄在 黑暗宇宙今天 珍重 誰知道是真是夢明天 過後 是解答或解脫摘一顆星星 要蓋高樓愛一種自由 燃盡石油追一種富有 卻要揮霍所有寄生地表的蟲落葉劑製造 落葉的秋輻射塵覆蓋 清晨的冬地球還殘喘 人就創作末日又何必等到 上帝沒收誰把 愉快的愉 換 偷竊的偷 在   難道 自找的找 是 自我的我終於 未來的未 變 末日的末我們啊 是先墜落 或先墜入 自甘墮落今天 珍重 誰知道是真是夢明天 過後 解答或解脫如果 你在 倖存的平行宇宙請記 得我 曾這麼預言過這首歌預言過聽著 無人電台 最終的播送那些 愛過的歌 像浩瀚鄉愁花朵 長出雲朵 彈頭落在街頭我們啊 停不下來 以為闖關 卻在闖禍今天 珍重 誰知道是真是夢明天 過後 解答或解脫如果 你在 倖存的平行宇宙要怎麼做 要怎麼活 請你對自己說誠實對自己說快對自己說電鋼琴：阿信+可樂Cola KaiLOOP Program：阿信和聲+阿璞(八三夭)+可樂Cola Kai[ti:]2012[ar:][al:]第二人生[by:]路人川
DNA,那是誰 用掉了  我的牙膏    我的鞋 和外套  是誰穿走了那是誰 在我家  大方洗澡    鏡子前 他和我  一樣的外表誰搬進  我的大腦   誰綁住  我的手腳是DNA  唱我反調   還是我  的命運  不敢自編自導想要叫  那就叫  想甩就甩跳就跳跳更高  別靠腰  要靠心臟的火藥要不要  難道要  別人幫你決定好好不好  就現在  搶回自己的心跳  自己的心跳那是誰 總是說  有夠衰小    那是誰 只禱告  只會打嘴砲那是誰 被通緝  正在逃跑    罪名是 綁架了  自己的微笑 在   誰搬進  我的大腦   誰綁住  我的手腳是DNA  唱我反調   還是我  的命運  不敢自編自導想要叫  那就叫  想甩就甩  跳就跳跳更高  別靠腰  要靠心臟  的火藥要不要  難道要  別人幫你  決定好好不好  就現在  搶回自己  的心跳想要叫  那就叫  想甩就甩  跳就跳跳更高  別靠腰  要靠心臟  的火藥要不要  難道要  別人幫你  決定好好不好  就現在  搶回自己  的心跳心跳  跳躍  狂奔  奔跑
Do you ever shine(國語版),如果沒有 某年某天 那淚光之災很多英雄 現在還是 懵懂小屁孩如果不是有群瘋子 不要命地愛最療癒的那首情歌 還沒寫出來Jalalan Jalalala故事無懸念Jalalan Jalalala你還有執念世界就是細節 要怎麼改變一念 一念 只差你一念Do you ever shine?Do you ever shine?Do it or die?你安全帶 馬上解開你有亮點 現在亮出來Do you ever shine?Do you ever shine?Do it or die?把握現在 面朝大海明年未必 春暖花開Do you ever shine?你可以是推倒世界 最後的骨牌也可以是宇宙拼圖 缺的那一塊不要以為你的表演 沒有人期待快要流行 用你名字命名的色彩Jalalan Jalalala縫一塊亮片Jalalan Jalalala來一場狂戀世界就是細節 要怎麼改變 在   一點 一點 就等你一念Do you ever try?Do you ever try?Do it or die?各種黑暗 並非白來只為鋪排 你閃亮登台Do you ever try?Do you ever try?Do it or die?每個最好、最壞時代，都迫出來幾個天才Do you ever try?抓住未來 甩掉塵埃燃燒現在 大放異彩難道你想 沒什麼意外 發一生的呆墓誌銘 只要寫 人畜無害還是怕輸 不參加比賽 把自己淘汰到老了才發現 小宇宙 根本就沒打開Do you ever shine?Do you ever shine?Do it or die?你安全帶 馬上解開你有亮點 現在亮出來Do you ever shine?Do you ever shine?Do it or die?每個最好、最壞時代，都是你的華麗舞台Don't forget to shine
Enrich Your Life,讓我照顧你/國泰世華銀行主題曲天心情很晴朗　在大樹下　笑著　和你乘涼突然領悟了　幸福的形狀幸福不是多　而是遺忘　能遺忘生命的　煩惱憂傷Enrich your life是你　愛你讓我變得更強　為你戰鬥永不投降讓我照顧你　豐富你的人生願望Enrich your life我超越我自己的想像　風雨再大能為你擋讓我照顧你　讓你未來放在我肩上Enrich your life
First Day,天/Fir天/孫燕姿/Fir下過雨的　夏天傍晚　我都會期待唱歌的蟬　嘿　把星星都吵醒月光曬了很涼快就是這樣　回憶起來　第一次告白尷尬的我　看　愛裝得很哲學的你其實很可愛你說活在明天　活在期待　不如活得今天很自在我說我懂了　會不會太快　未來　第一天要展開第一天　我存在　第一次呼吸暢快站在地上的腳踝　因為你而有真實感第一天　我存在　第一次能飛起來愛是騰空的魔幻　第一天的純真色彩它總是　永遠　那麼　燦爛你很搞笑　你很奇怪　你頭髮很亂有的時候　你　又突然為我的事情變得很勇敢這麼說來　很不單純　你陪我看海海那麼藍　我　又好像不應該把你想得有點壞壞的是我　發現不知不覺　不見到你不是很習慣你的眼神裡　好像也期待期待　不一樣的未來 在   第一天　我存在　第一次呼吸暢快站在地上的腳踝　因為你而有真實感第一天　我存在　第一次能飛起來愛是騰空的魔幻　第一天的純真色彩它總是　永遠　那麼　燦爛藍色的海　海上的雲　雲的那端　不轉彎　到未來你說活在明天　活在期待　不如活得今天很自在我說我懂了　會不會太快　未來　第一天要展開第一天　我存在　第一次呼吸暢快站在地上的腳踝　因為你而有真實感第一天　我存在　第一次能飛起來愛是騰空的魔幻　第一天的純真色彩它總是永遠　那麼　燦爛永遠　那麼　燦爛永遠　那麼　燦爛Firstday　Firstday　Firstday　Firstday　FirstdayToday　EverydayFirstday　Firstday　Firstday　Firstday　Firstday　FirstdayToday　Everyday 感謝 Aki  提供歌詞 友站連結： hope & dream　＊　
Happy Birth Day,虎為什麼奶昔不甜　為什麼風景不美因為妳　在身邊　世界只剩下一個焦點一開始妳就特別　從眼神就很體貼我們都　不穿鞋　光著腳穿越耳語流言○在這之前　我到底是誰　妳出現　我眼前　一瞬間　一切都改變＊happy birth day 妳就在我身邊　和妳吃苦一生　勝過天堂一天　happy birth day 告別憂傷昨天　自從遇見了妳　才是我的 happy birth day 在   風箏和風在纏綿　詩人和詩在兜圈妳坐在　我身邊　這一種快樂無法描寫世界我環遊一圈　看很多空中小姐都沒有　比妳美　第一名模也只能閃邊Repeat ○,＊為什麼快樂也會流下眼淚　灌溉了我的荒野　開滿了玫瑰我不累　我不睡　我不休息　我不闔眼　我不想浪費每一秒　在這　有妳的世界Repeat ＊,＊,＊
Ho See,槍子無聲鑽來鑽去　打破今眠的空氣半夜一點的巷仔內　在播一齣戲哪會按呢我想來想去　活的真不舒適稍微一點風吹草動　耙仔抓緊緊HoSee HoSee 呼伊死　看誰人先倒下去HoSee HoSee 呼伊死　看誰人的卡大支HoSee HoSee 呼伊死　HoSee HoSee 呼伊死HoSee HoSee 呼伊死　不爽就 HoSee HoSee 在   世界哪會顛三到四　人生過甲親像戰爭委屈若是吞不下去　一聲就變臉江湖變甲這沒義氣　朋友變甲這歹逗陣真正若是發生事情　人攏溜緊緊昨眠閣再夢到伊　牽手散步的日子甘知當初的男兒　變甲按呢生四面八方團團包圍　左邊右邊撞不出去我嘛不知　過了今眠　是生還是死
I Can Fly,雄麟天比愉快來得更痛快　比精彩更有色彩比抱個滿懷更自在更實在　是不是這就是愛比依賴更讓人分不開　比坦白更加雪白比熱吻起來讓血脈更澎湃　是不是這就是愛I Can Fly　伸手就碰到未來I Can Fly　星星我都可以摘I Can Fly　天涯都不是障礙飛了起來我的愛I Can Fly　伸手就碰到未來I Can Fly　什麼我都可以甩I Can Fly　天涯都被你覆蓋排山倒海(是)你的愛~
I Love You無望,天是你的形影　叫我逐天作眠夢夢中可愛的人　伊不是別人我的每一天　一分鐘也不當輕鬆你是我愛的人　將我來戲弄九月的風在吹　哪會寒到心肝底希望變無望　決定我的一世人I LOVE YOU 無望　你甘是這款人沒法度來作陣　也沒法度將我放I LOVE YOU 無望　我就是這款人我身邊沒半項　只有對你的思念　陪伴我的每一天
I Will Carry You,傳說對決 主打歌I Will Carry You那是我 唯一的信仰I Will Carry YouCarry You還有 五秒 你抵達戰場 還有 一刻 殘存的倔強還有 什麼 你不肯遺忘 還能 讓你 不斷的痴狂一念天譴 或一念天堂 你不需要 聽誰怎麼講你太依賴 的心靈雞湯 早已變成 那心靈砒霜有些青春 太拘泥對仗 還沒埋葬 就已經殞亡這修羅場 並沒有真相 只剩你我 打同一場仗I Will Carry You那是我 唯一的信仰I Will Carry YouCarry You難鳴 孤掌 這世態炎涼 缺少 了你 贏了又怎樣入死 出生 要與你同框 就是 我們 唯一的信仰 在   一條末路 或一條生路 四捨五入 終究得上路上中下路 人生萬條路 最近的路 叫沒有退路有些痛楚 讓你更清楚 榮耀屬於 平凡的人物每場戰爭 都有贏和輸 就算要輸 和你一起輸I Will (我們在你身旁) Carry You那是我 唯一的信仰I Will (我們永遠不忘) Carry YouCarry YouI Will Carry You少了你 贏了又怎樣I Will Carry YouCarry YouI Will (我們在你身旁) Carry You那是我 唯一的信仰I Will (我們永遠不忘) Carry YouCarry You
