﻿name,lyric
10秒的衝動(10 Seconds Of Insane Bravery),狹小的廚房擁擠的沙發竟然能在你走後變這麼空蕩夢被竊取的每個晚上醒著在往事裡面流浪情緒太滿我跟黑夜講話可是沒有誰安慰回答oh～否認不了 I miss you十秒的衝動讓幸福開頭但最後的衝動 讓感情遠走被 回憶淹沒忙碌的背後失神的凝望  在  窗外的一朵浮雲迷失了方向對於愛情有著太多想像才會怪對方讓人失望愛恨常常為了同樣一個理由熱戀時候喜歡情濃不愛了就嫌沉重否認不了 I miss you最初的衝動會召喚笑容但最後的衝動 無法再回頭只剩下 疼痛 
2infinity And Beyond,ler England傑I've been going in circlesWith no directionRound and round I am spinningJust when I think I'm moving forwardI discoverThat I'm back at the beginningBut morning comes I see the sun riseAnd it reminds meEvery day is a new dayAnd if it takes a million more triesI'll never give upI know I will find a wayThough it's hard to seeBut the power is inside of meIf we dare to dreamI know we can do anything hey heyLove is all we needTogether we'll fly OhTo infinity and beyondIf we only believeWe can reach the sky OhTo infinity and beyondOh oh ohTo infinity and beyondOh oh ohTo infinity and beyondI've been going in circlesWith no directionRound and round I am spinning  在  Just when I think I'm moving forwardI discoverThat I'm back at the beginningBut morning comes I see the sun riseAnd it reminds meEvery day is a new dayAnd if it takes a million more triesI'll never give upI know I will find a wayThough it's hard to seeBut the power is inside of meIf we dare to dreamI know we can do anything hey heyLove is all we needTogether we'll fly OhTo infinity and beyondIf we only believeWe can reach the sky OhTo infinity and beyondOh oh ohTo infinity and beyondOh oh ohTo infinity and beyondLove is all we needTogether we'll flyTo infinity and beyondIf we only believeWe can reach the skyTo infinity and beyondTo infinity and beyondTo infinity and beyond 
Always Online,變色的生活 任性的挑撥瘋狂的冒出了頭單方的守候 試探的溫柔還是少了點什麼遙遠 兩端 愛掛在天空飛風停了也無所謂只因為你總說Everything will be okay準備好了321I'm always online和你1 to 1愛開始擴散我們連結了 穿越 天空 銀河 oh…oh…開始倒數321刪除我的孤單More and more盡是深刻愛亮了 愛笑了 I'm always online  在  變色的生活 任性的挑撥 瘋狂的冒出了頭單方的守候試探的溫柔 卻還是少了點什麼遙遠 兩端 愛掛在天空飛 風停了也無所謂只因為你總說 Everything will be okay我準備好了321 I'm always online和你1 to 1 愛開始擴散我們連結了 穿越 天空 銀河 oh…oh…開始倒數321 刪除我的孤單More and more盡是深刻 愛亮了 愛笑了 I'm always online準備好了321 I'm always online和你1 to 1 愛開始擴散我們連結了 穿越 天空 銀河開始倒數321 刪除我的孤單More and more盡是深刻 愛亮了 愛笑了 I'm always online愛亮了 愛笑了 I'm always online
As I Believe,When I look up to the skiesGreet the sight before my eyesAnd I welcome yet another glorious dayEvery morning's bright sunriseNever ceases to surpriseWith the possibilities it brings my waySo into my life I goKnowing everything I knowHoping every moment in my day stays brightAs I follow my life's flowI will carry on to growJust as long as life can let my dreams take flightAnd as long as I believe what I believeI can be all that I know all I can beIf I just allowLove to lead the way, no matter howI'll do my best, as I'm prepared to tryAnd I know if I believe what I believeI will know that somehow I will be set freeFrom all that's in the wayIt won't matter what they say  在  I'll do everything it takesWith the strength so that I mayLet my passion flyThis is what I've always knownI can't reach the skies aloneSo I'll reach out to the ones who care for meTill I know that I have grownTill I'm standing on my ownWith the love that leads me to my destinyAnd as long as I believe what I believeI can be all that I know all I can beIf I just allowLove to lead the way, no matter howI'll do my best, as I'm prepared to tryAnd I know if I believe what I believeI will know that somehow I will be set freeFrom all that's in the wayIt won't matter what they sayI'll do everything it takesWith the strength so that I mayLet my passion fly 
Baby Baby,Andy 耍無聊泡網咖JJ　裝憂鬱像傻瓜XX　你背後是你爸Buddy　誰有本事把到校花尷尬　前女友變你阿娜達JJ　陪著你喝到掛XX　女孩們太偉大什麼都不怕　只要我長大　哦快樂時候鬧鬧　難過時候抱抱認真時你不要來吵從我們小小　直到我們老老  在  玩伴　伙伴　就一些活寶Baby Baby　將來我們都是某個女孩唯一依靠哦　哦　有陽光的味道Baby Baby　同樣一種調調一個暗號同類才收到哦　哦　碰肩膀的微笑
Endless Road,Lyrics：Music：Arranger：吳慶隆The truth is tearing up my heartI can't recognize this placeThe endless road without a stop signCan't even find a stranger this time＊Why am I still holding back my tears　In this loneliness there's nothing to fear　Every chord still seems a wonder　How we could be together　Every time I ask if this would be the last＃Why am I still talking to myself　Hopin' you will have the keys to my cell　Every song might calm the weather　But it just drops me deeper　How do I get out of this, I think　I never will...  在  A crystal forming in the eyeMaybe this would be the lastA winding path down my faceTill I begin to taste the bitterness insideRepeat ＊＃Why am I still holding back my tearsIn this loneliness there's nothing left to fearEvery chord still seems a wonderHow we could be togetherEvery time I ask if this would be the lastRepeat ＃I never will...
Hurray一起搖,黑白的琴道　指尖來引爆誰要想接招　耳朵先豎好我功力高強　獨門的格調好壞不由別人講　玩得開心最重要唱唱唱　我唱到啞掉　跳跳跳我跳翻天Hurray　全世界不睡覺　一起搖闖闖闖我過關斬將　亮亮亮我刀光亮Hurray　讓全世界看我　發光自信的拳腳　我揮灑逍遙馬步扎無數通宵　台上一分鐘　練十年功  在  唱唱唱　我唱到啞掉　跳跳跳我跳翻天Hurray　全世界不睡覺　一起搖闖闖闖我過關斬將　亮亮亮我刀光亮Hurray　讓全世界看我　發光有夢就不渺小　不怕地再大　天再高不驕傲　剛剛好　你最了唱唱唱　我唱到啞掉　跳跳跳我跳翻天Hurray　全世界不睡覺　一起搖闖闖闖我過關斬將　亮亮亮我刀光亮Hurray　讓全世界看我　發光　亮
I Am,落在手裡一顆淚滴 清澈地卻已溶化活在人間 我的壓力和疑惑愛和理想怎麼評量 闖過難關避開受傷其實我和凡人都一樣擔心路會走錯方向 擔心她不放在心上擔心生命不再充滿渴望It's when I'm weak then I am strong我脆弱 卻不退縮  在  確定路在對的方向 確定她在我的心上確定生命永遠有希望It's when I'm weak then I am strong我脆弱 卻不退縮我脆弱 卻永不退縮
I DO,I DO 只能數著你離開的腳步I DO 甚至我不哭I DO 不論妳要這樣突然結束　我還是依然不對你說不I DO 從來沒有想過這種地步I DO 怎麼妳也哭I DO 我知道妳決定時的難處　我怎能面帶微笑對你說 i ... DO 
K-O,一鎖住了你　過肩摔才兩秒拿刀　我旋開左腳　擒拿你的後腰喔 ~ ~ ~　禮節要做到喔 ~ ~ ~　等裁判說好繞　我往你右邊繞　你攻擊沒力道我佔據下死角　可攻可逃O-A-O　瞬間就擊倒　甚至來不及讀秒你全身都是我目標　老鼠遇見貓O-A-O　看我這一招　側腰回旋　空手道延長比賽都延不了　一次就把你 KO煩惱　一纏上了人　很不容易甩掉  在  愛情　只要能活著　你怎麼說都好喔 ~ ~ ~　禮節要做到喔 ~ ~ ~　等裁判說好(歌詞完之後還有rap)Rap:Round one fight!保持原來戰鬥姿勢讓食指拇指輕扣我的武器太慢 太慢 我穩如泰山你的攻擊都失敗 抱歉讓你滿頭大汗Combo連續技 快到你無法閃 3手足無措卡在角落不能動彈 2需不需要開點窗戶讓你喘喘 必殺技 1火力全開 KO 掰掰
